id,name,artists,album,release_date,energy,danceability,popularity,keywords
0fRQGNuIp5cdr9TBShw1bN,Gun Gun Guna,"Ajay-Atul, Udit Narayan, Sunidhi Chauhan",Agneepath (Original Motion Picture Soundtrack),12/16/11,0.86,0.666,50,"['gun', 'àà', 'guna', 'song', 'ààà', 'mp3', 'udit', 'narayan', 'download', 'songs']"
73y649QhnXdcm6fRdvfraO,Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),12/16/11,0.387,0.334,64,"['ààà', 'abhi', 'mujh', 'mein', 'kahin', 'song', 'à', 'àà', 'àà¹àà', 'mp3']"
6Ozx2ngGtXrqznTKhKBlrT,Deva Shree Ganesha,"Ajay-Atul, Ajay Gogavale",Agneepath (Original Motion Picture Soundtrack),12/16/11,0.96,0.34,61,"['deva', 'shree', 'ganesha', 'song', 'àààµà¾', 'àààà', 'ààààà¾', 'mp3', 'ajay', 'gogavale']"
5PM1dIibpTR57jlugvjNSM,Sapna Jahan,"Ajay-Atul, Sonu Nigam, Neeti Mohan",Brothers (Original Motion Picture Soundtrack),7/24/15,0.329,0.471,56,"['sapna', 'jahan', 'song', 'ààªàà¾', 'àà¹à¾à', 'mp3', 'ajayatul', 'download', 'songs', 'music']"
0bYDMpQ94LnF38FiOlc8K9,Chaar Kadam,"Shaan, Shreya Ghoshal",Pk,11/17/14,0.532,0.388,59,"['kadam', 'chaar', 'song', 'àà¾à', 'ààà', 'bin', 'chal', 'kuch', 'saath', 'na']"
6QXOeVS0RuwbMrI4ud2Lud,Bhagwaan Hai Kahan Re Tu,Sonu Nigam,Pk,11/17/14,0.398,0.472,51,"['hai', 'tu', 'kahan', 'àà', 'bhagwan', 'song', 'àààµà¾à', 'à¹à', 'àà¹à¾à', 'main']"
7rnqq7955ubY95MRPiRpue,Hai Mera Dil,Alfaaz,Alfaaz,8/13/11,0.839,0.739,60,"['diwana', 'dil', 'hai', 'mera', 'song', 'àààµà¾àà¾', 'ààà²', 'à¹à', 'àààà¾', 'songs']"
6eO9LvEiMqh1CAsa6y3wXP,Bol Do Na Zara,"Armaan Malik, Amaal Mallik, Rashmi Virag",Azhar,4/7/16,0.473,0.545,62,"['na', 'bol', 'zara', 'main', 'nahi', 'song', 'se', 'kisi', 'kahunga', 'mein']"
3P167vmmGRGKHoy7uDugvy,Itni Si Baat Hain,"Pritam, Arijit Singh, Antara Mitra",Azhar,4/7/16,0.768,0.56,60,"['hai', 'itni', 'si', 'baat', 'hain', 'song', 'mujhe', 'tumse', 'àààà', 'àà']"
06wTXKpDMrSp5OfB7MErpx,Befikra,"Meet Bros., Aditi Singh Sharma, Natalie Ram, Thomson Andrews, Keshia Braganza, Gwen Dias, Ryan Dias",Befikra,6/28/16,0.979,0.6,52,"['befikra', 'song', 'mp3', 'meet', 'bros', 'download', 'songs', 'music', 'tiger', 'shroff']"
5bHDGWyIFML1LYXZWTD5MF,I Love You,"Pritam, Ash King, Clinton Cerejo",Bodyguard,7/27/11,0.671,0.654,62,"['àà', 'love', 'song', 'à²àµ', 'hai', 'tu', 'kya', 'mp3', 'gaye', 'bhi']"
1HT0RzPuChHC1kWbIplHyw,Teri Meri,"Rahat Fateh Ali Khan, Shreya Ghoshal",Bodyguard,7/27/11,0.517,0.401,61,"['fateh', 'ali', 'khan', 'rahat', 'music', 'songs', 'nbsp', 'awards', 'bollywood', 'download']"
0KSOLEBixnBYIKNHF1VbzF,Hona Tha Pyar,"Atif Aslam, Hadiqa Kiani",Bol - Original Motion Picture Soundtrack,6/5/11,0.542,0.687,62,"['hona', 'tha', 'pyar', 'song', 'à¹ààà¾', 'àà¾', 'àªààà¾à', 'yaar', 'pyaar', 'mere']"
1wGSK11huEffPN8rxMxQaJ,Tu Hi Rab Tu Hi Dua,"Rahat Fateh Ali Khan, Tulsi Kumar",Dangerous Ishhq,4/16/12,0.807,0.649,46,"['tu', 'hi', 'àà', 'à¹à', 'rab', 'dua', 'song', 'ààà', 'mein', 'mp3']"
5SFWdSgtyyf7adAsJhSJ7h,Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",Dangerous Ishhq,4/16/12,0.52,0.566,49,"['naina', 'hi', 'khud', 'song', 'bura', 'àààà¾', 'àà', 'dil', 'ka', 'na']"
5NChQ2tXB9q9D8kdkLTWOL,Hosanna,"A.R. Rahman, Leon D'souza, Suzanne D'Mello",Ekk Deewana Tha (Original Motion Picture Soundtrack),1/4/12,0.802,0.571,56,"['hosanna', 'song', 'à¹àààààà¾', 'mp3', 'leon', 'dsouza', 'download', 'songs', 'music', 'ekk']"
4eFnk661RcdOuH9ajiTO3j,Banjaara,Mohammed Irfan,Ek Villain,5/28/14,0.489,0.657,65,"['hai', 'ko', 'jaise', 'banjaara', 'song', 'ààààà¾àà¾', 'ghar', 'koi', 'mujhko', 'mila']"
32U1XMh3DKlm45uvpofhvY,Zaroorat,Mustafa Zahid,Ek Villain,5/28/14,0.712,0.354,60,"['zaroorat', 'hai', 'song', 'ààààà', 'mujhe', 'ye', 'kyun', 'hoon', 'teri', 'mein']"
1OEmd2iXU8pWG7CrKNpGUg,Humdard,Arijit Singh,Ek Villain,5/28/14,0.541,0.572,68,"['humdard', 'hai', 'song', 'jo', 'mera', 'à¹ààààà', 'tu', 'meri', 'ek', 'download']"
3b8USdQmDl0wXzrDaHxQYY,Navrai Maajhi,"Sunidhi Chauhan, Swanand Kirkire, Neelambari Kirkire, Natalie Di Luccio",English Vinglish (Original Motion Picture Soundtrack),9/5/12,0.594,0.9,54,"['navrai', 'maajhi', 'song', 'ààµàà¾à', 'àà¾àà', 'mp3', 'sunidhi', 'chauhan', 'english', 'download']"
4qRcjFkFqSpLBzcbLDt7HL,Ambarsariya,Sona Mohapatra,Fukrey,5/14/13,0.458,0.649,65,"['ambarsariya', 'song', 'na', 'se', 'main', 'mundave', 'kachiya', 'kaliyaan', 'tod', 'teri']"
2IarWd16hKAvXU8vnEunVb,Mileya Mileya,"Rekha Bhardwaj, Jigar Saraiya, Sachin-Jigar, Priya Saraiya",Happy Ending (Original Motion Picture Soundtrack),10/21/14,0.466,0.732,66,"['mileya', 'ààà²ààà¾', 'song', 'mp3', 'rekha', 'bhardwaj', 'download', 'songs', 'music', 'happy']"
